Course,Number,Prefix,Prof_Name (Assigned Dept-College),Enrolled ,A,B,C,D,F,W,I ,*,P,F
CE,3310,,Burati James L (0911-CECAS),79, 58.23,27.85,8.86,2.53,1.27,0,1.27,0,0,0
CE,3410,,Kaye Nigel Gregory (0911-CECAS),52, 32.69,40.38,17.31,9.62,0,0,0,0,0,0
CE,3410,,Khan Abdul A (0911-CECAS),53, 16.98,37.74,30.19,1.89,13.21,0,0,0,0,0
CE,3420,,Mishra Ashok  (0911-CECAS),46, 50.00,32.61,10.87,6.52,0,0,0,0,0,0
CE,3510,,Esmaeilpoursaee Amirreza  (0911-CECAS),83, 34.94,49.40,14.46,0,1.20,0,0,0,0,0
CE,3520,,Rockow Zoraya Roldan (0911-CECAS),54, 46.30,25.93,18.52,3.70,0,5.56,0,0,0,0
CE,3990,,Chen Qiushi  (0911-CECAS),2, #,#,#,#,#,#,#,#,#,#
CE,3990,,Dancz Claire Louise Antaya (0956-CECAS),4, #,#,#,#,#,#,#,#,#,#
CE,3990,,Ogle Jennifer H (0911-CECAS),5, #,#,#,#,#,#,#,#,#,#
CE,3990,,Pang Weichiang  (0911-CECAS),1, #,#,#,#,#,#,#,#,#,#
CE,3990,,Putman Bradley J (0901-CECAS),7, #,#,#,#,#,#,#,#,#,#
CE,4010,,Nielson Bryant G (0911-CECAS),15, 0,46.67,20.00,20.00,6.67,6.67,0,0,0,0
CE,4020,,Ross Brandon E (0911-CECAS),35, 34.29,37.14,20.00,2.86,0,0,5.71,0,0,0
CE,4060,,Csernak Stephen F (0911-CECAS),39, 35.90,43.59,5.13,7.69,2.56,5.13,0,0,0,0
CE,4100,,Sarasua Wayne A (0911-CECAS),16, 37.50,37.50,25.00,0,0,0,0,0,0,0
CE,4240,,Ravichandran Nadarajah  (0911-CECAS),49, 32.65,38.78,20.41,4.08,4.08,0,0,0,0,0
CE,4330,,Sanders Steve Richard (0911-CECAS),58, 79.31,20.69,0,0,0,0,0,0,0,0
CE,4390,,Burati James L (0911-CECAS),22, 31.82,45.45,18.18,0,0,4.55,0,0,0,0
CE,4560,,Putman Bradley J (0901-CECAS),25, 48.00,44.00,4.00,0,0,4.00,0,0,0,0
CE,4590,,Csernak Stephen F (0911-CECAS),43, 51.16,30.23,4.65,13.95,0,0,0,0,0,0
CE,4820,,Murdoch Lawrence C (0919-CECAS),3, #,#,#,#,#,#,#,#,#,#
CE,4870,H,Burati James L (0911-CECAS),1, #,#,#,#,#,#,#,#,#,#
CE,4900,,Kaye Nigel Gregory (0911-CECAS),1, #,#,#,#,#,#,#,#,#,#
CE,4900,,Ogle Jennifer H (0911-CECAS),14, 92.86,0,0,0,0,0,7.14,0,0,0
CE,4900,,Soltani Mahmoodreza  (0503-CAAH),1, #,#,#,#,#,#,#,#,#,#
CE,4910,,Mishra Ashok  (0911-CECAS),10, 80.00,20.00,0,0,0,0,0,0,0,0
CE,4910,,Piratla Kalyan Ram (0911-CECAS),29, 75.86,13.79,3.45,0,6.90,0,0,0,0,0
CE,4990,,Chen Qiushi  (0911-CECAS),3, #,#,#,#,#,#,#,#,#,#
CE,4990,,Dancz Claire Louise Antaya (0956-CECAS),4, #,#,#,#,#,#,#,#,#,#
CE,4990,,Ogle Jennifer H (0911-CECAS),24, 100.00,0,0,0,0,0,0,0,0,0
CE,4990,,Pang Weichiang  (0911-CECAS),14, 92.86,0,0,0,0,7.14,0,0,0,0
CE,4990,,Putman Bradley J (0901-CECAS),11, 100.00,0,0,0,0,0,0,0,0,0
CE,6010,,Nielson Bryant G (0911-CECAS),22, 45.45,40.91,13.64,0,0,0,0,0,0,0
CE,6100,,Sarasua Wayne A (0911-CECAS),5, #,#,#,#,#,#,#,#,#,#
CE,6240,,Ravichandran Nadarajah  (0911-CECAS),8, #,#,#,#,#,#,#,#,#,#
CE,6330,,Sanders Steve Richard (0911-CECAS),9, #,#,#,#,#,#,#,#,#,#
CE,6390,,Burati James L (0911-CECAS),9, #,#,#,#,#,#,#,#,#,#
CE,6560,,Putman Bradley J (0901-CECAS),7, #,#,#,#,#,#,#,#,#,#
CE,6910,,Mishra Ashok  (0911-CECAS),3, #,#,#,#,#,#,#,#,#,#
CE,6910,,Piratla Kalyan Ram (0911-CECAS),11, 100.00,0,0,0,0,0,0,0,0,0
CE,8200,,Andrus Ronald D. (0911-CECAS),13, 61.54,38.46,0,0,0,0,0,0,0,0
CE,8260,,Rangaraju Prasada Rao (0911-CECAS),12, 41.67,50.00,8.33,0,0,0,0,0,0,0
CE,8320,,Sanders Steve Richard (0911-CECAS),11, 81.82,18.18,0,0,0,0,0,0,0,0
