Course,Number,Prefix,Prof_Name (Assigned Dept-College),Enrolled ,A,B,C,D,F,W,I ,*,P,F
GC,2990,,O'Hara Liam Henry (1353-CBUS),3, #,#,#,#,#,#,#,#,#,#
GC,2990,,Woolbright Nona L (1353-CBUS),4, #,#,#,#,#,#,#,#,#,#
GC,3400,,Walker Erica Black (1353-CBUS),39, 48.72,35.90,12.82,0,0,0,2.56,0,0,0
GC,3400,H,Walker Erica Black (1353-CBUS),1, #,#,#,#,#,#,#,#,#,#
GC,3460,,O'Hara Liam Henry (1353-CBUS),47, 23.40,55.32,19.15,2.13,0,0,0,0,0,0
GC,3500,,Jones Carol D (1353-CBUS),16, 87.50,6.25,0,0,0,6.25,0,0,0,0
GC,3990,,Fox Michelle Suki Bost (1353-CBUS),7, #,#,#,#,#,#,#,#,#,#
GC,3990,,Leininger John M (1353-CBUS),2, #,#,#,#,#,#,#,#,#,#
GC,3990,,O'Hara Liam Henry (1353-CBUS),5, #,#,#,#,#,#,#,#,#,#
GC,3990,,Woolbright Nona L (1353-CBUS),3, #,#,#,#,#,#,#,#,#,#
GC,4060,,Cox Kern T (1353-CBUS),33, 57.58,33.33,6.06,0,0,0,0,0,0,0
GC,4060,H,Cox Kern T (1353-CBUS),1, #,#,#,#,#,#,#,#,#,#
GC,4400,,Weisenmiller Eric M. (1353-CBUS),41, 24.39,63.41,4.88,0,4.88,2.44,0,0,0,0
GC,4400,H,Weisenmiller Eric M. (1353-CBUS),1, #,#,#,#,#,#,#,#,#,#
GC,4440,,Ingram Samuel T (1353-CBUS),36, 66.67,25.00,5.56,0,0,2.78,0,0,0,0
GC,4480,,Woolbright Nona L (1353-CBUS),47, 89.36,6.38,2.13,0,0,2.13,0,0,0,0
GC,4480,H,Woolbright Nona L (1353-CBUS),2, #,#,#,#,#,#,#,#,#,#
GC,4500,,Jones Carol D (1353-CBUS),23, 91.30,0,8.70,0,0,0,0,0,0,0
GC,4510,,Walker Erica Black (1353-CBUS),5, #,#,#,#,#,#,#,#,#,#
GC,4800,,Tonkin Charles Edward (1353-CBUS),44, 75.00,18.18,6.82,0,0,0,0,0,0,0
GC,4900,,Edlein Rebecca Suzanne (1353-CBUS),8, #,#,#,#,#,#,#,#,#,#
GC,4900,,Ingram Samuel T (1353-CBUS),5, #,#,#,#,#,#,#,#,#,#
GC,4900,,Jacobs John J (1353-CBUS),6, #,#,#,#,#,#,#,#,#,#
GC,4900,,Leininger John M (1353-CBUS),6, #,#,#,#,#,#,#,#,#,#
GC,4900,,Walker Erica Black (1353-CBUS),47, 97.87,2.13,0,0,0,0,0,0,0,0
GC,4990,,Leininger John M (1353-CBUS),6, #,#,#,#,#,#,#,#,#,#
GC,4990,,O'Hara Liam Henry (1353-CBUS),4, #,#,#,#,#,#,#,#,#,#
GC,4990,,Woolbright Nona L (1353-CBUS),2, #,#,#,#,#,#,#,#,#,#
GC,6060,,Cox Kern T (1353-CBUS),6, #,#,#,#,#,#,#,#,#,#
GC,6400,,Weisenmiller Eric M. (1353-CBUS),3, #,#,#,#,#,#,#,#,#,#
GC,6480,,Woolbright Nona L (1353-CBUS),1, #,#,#,#,#,#,#,#,#,#
GC,6900,,Edlein Rebecca Suzanne (1353-CBUS),1, #,#,#,#,#,#,#,#,#,#
GC,6900,,Fox Michelle Suki Bost (1353-CBUS),4, #,#,#,#,#,#,#,#,#,#
GC,6900,,O'Hara Liam Henry (1353-CBUS),4, #,#,#,#,#,#,#,#,#,#
GC,6900,,Tonkin Charles Edward (1353-CBUS),1, #,#,#,#,#,#,#,#,#,#
GC,6900,,Woolbright Nona L (1353-CBUS),5, #,#,#,#,#,#,#,#,#,#
GC,8010,,Ingram Samuel T (1353-CBUS),7, #,#,#,#,#,#,#,#,#,#
GC,8500,,Woolbright Nona L (1353-CBUS),1, #,#,#,#,#,#,#,#,#,#
GC,8910,,O'Hara Liam Henry (1353-CBUS),1, #,#,#,#,#,#,#,#,#,#
GC,8940,,Ingram Samuel T (1353-CBUS),10, 90.00,0,0,0,0,0,10.00,0,0,0
GC,8970,,Ingram Samuel T (1353-CBUS),1, #,#,#,#,#,#,#,#,#,#
GC,8980,,Ingram Samuel T (1353-CBUS),1, #,#,#,#,#,#,#,#,#,#
""
ELE,3010,,Kyprianou Christina  (1305-CBUS),79, 39.24,55.70,1.27,1.27,1.27,1.27,0,0,0,0
ELE,3010,,Parnell Ashley Williams (1305-CBUS),38, 18.42,42.11,26.32,2.63,2.63,7.89,0,0,0,0
